,Placement,Team,Score,TitleEligibile,Year,Event,Date,Division
5,6,Mark Muir & Eclipse,147.6,XW-MM Advanced,2017,"World Championship | Chattanooga, Tennessee",9/20/2017,MicroDog (Men's)
6,7,Joshua Ex & Jaggar,144.3,XW-MM Basic,2017,"World Championship | Chattanooga, Tennessee",9/20/2017,MicroDog (Men's)
7,8,Frank Montgomery & Chicklet,144.2,XW-MM Basic,2017,"World Championship | Chattanooga, Tennessee",9/20/2017,MicroDog (Men's)
8,9,Frank Montgomery & Bentley,118.4,XW-MM Basic,2017,"World Championship | Chattanooga, Tennessee",9/20/2017,MicroDog (Men's)
9,10,Dean Werts & Siri,0.0,,2017,"World Championship | Chattanooga, Tennessee",9/20/2017,MicroDog (Men's)
10,10,Mark Muir & Hope,0.0,,2017,"World Championship | Chattanooga, Tennessee",9/20/2017,MicroDog (Men's)
11,10,Chris Knapp & Rue,0.0,,2017,"World Championship | Chattanooga, Tennessee",9/20/2017,MicroDog (Men's)
0,1,Nicole Brumble & Lilly,164.9,XW-WM Elite,2017,"World Championship | Chattanooga, Tennessee",9/20/2017,MicroDog (Women's)
1,2,Jenelle Miller & Bongo,152.7,XW-WM Elite,2017,"World Championship | Chattanooga, Tennessee",9/20/2017,MicroDog (Women's)
2,3,Stephanie Carbaugh & Payton,132.1,XW-WM Elite,2017,"World Championship | Chattanooga, Tennessee",9/20/2017,MicroDog (Women's)
3,4,Lori Siddons & Cindy Lou Who,114.5,XW-WM Advanced,2017,"World Championship | Chattanooga, Tennessee",9/20/2017,MicroDog (Women's)
4,5,Becca Hancock & Eclipse,110.3,XW-WM Advanced,2017,"World Championship | Chattanooga, Tennessee",9/20/2017,MicroDog (Women's)
5,6,Jameelea Popenhagen & Miss Ruby,96.5,XW-WM Advanced,2017,"World Championship | Chattanooga, Tennessee",9/20/2017,MicroDog (Women's)
6,7,Criss Brown & Bentley,87.6,XQ-WM Expert,2017,"World Championship | Chattanooga, Tennessee",9/20/2017,MicroDog (Women's)
7,8,Criss Brown & Blaze,0.0,,2017,"World Championship | Chattanooga, Tennessee",9/20/2017,MicroDog (Women's)
8,8,Barbara Reinhold & Rue,0.0,,2017,"World Championship | Chattanooga, Tennessee",9/20/2017,MicroDog (Women's)
9,8,Jameelea Popenhagen & Miss Diva,0.0,,2017,"World Championship | Chattanooga, Tennessee",9/20/2017,MicroDog (Women's)
10,8,Jenelle Miller & Habit,0.0,,2017,"World Championship | Chattanooga, Tennessee",9/20/2017,MicroDog (Women's)
11,8,Kayla Schroeder & Jaggar,0.0,,2017,"World Championship | Chattanooga, Tennessee",9/20/2017,MicroDog (Women's)
0,1,Derek Martin & Bravo,240.7,XW-MUP Expert,2017,"World Championship | Chattanooga, Tennessee",9/20/2017,Unlimited Plastic (Men's)
1,2,Gary Duke & Sweep,223.0,XW-MUP Expert,2017,"World Championship | Chattanooga, Tennessee",9/20/2017,Unlimited Plastic (Men's)
2,3,Mike Hammock & Gixxer,216.5,XW-MUP Expert,2017,"World Championship | Chattanooga, Tennessee",9/20/2017,Unlimited Plastic (Men's)
3,4,Gordon Cheung & Little Alex,207.7,XW-MUP Advanced,2017,"World Championship | Chattanooga, Tennessee",9/20/2017,Unlimited Plastic (Men's)
4,5,Gordon Cheung & Karma,202.9,XW-MUP Advanced,2017,"World Championship | Chattanooga, Tennessee",9/20/2017,Unlimited Plastic (Men's)
5,6,Blake Kilbourne & Marina,200.5,XW-MUP Advanced,2017,"World Championship | Chattanooga, Tennessee",9/20/2017,Unlimited Plastic (Men's)
6,7,Peter Williams & Six,199.1,XW-MUP Basic,2017,"World Championship | Chattanooga, Tennessee",9/20/2017,Unlimited Plastic (Men's)
7,8,Darrin Canter & Stack,191.0,XW-MUP Basic,2017,"World Championship | Chattanooga, Tennessee",9/20/2017,Unlimited Plastic (Men's)
8,9,Gordon Cheung & Mercy,184.5,XW-MUP Basic,2017,"World Championship | Chattanooga, Tennessee",9/20/2017,Unlimited Plastic (Men's)
9,10,Gordon Cheung & Tonks,183.0,XW-MUP Basic,2017,"World Championship | Chattanooga, Tennessee",9/20/2017,Unlimited Plastic (Men's)
10,11,Lucas Croft & Sailor,180.3,XW-MUP Basic,2017,"World Championship | Chattanooga, Tennessee",9/20/2017,Unlimited Plastic (Men's)
11,12,Juan-Carlos Ortiz-Barreto & Kandela,162.8,XW-MUP Basic,2017,"World Championship | Chattanooga, Tennessee",9/20/2017,Unlimited Plastic (Men's)
12,13,Rick Nielsen & Pete,145.8,XQ-MUP Basic,2017,"World Championship | Chattanooga, Tennessee",9/20/2017,Unlimited Plastic (Men's)
13,14,Rick Nielsen & Jessie,142.9,XQ-MUP Basic,2017,"World Championship | Chattanooga, Tennessee",9/20/2017,Unlimited Plastic (Men's)
14,15,Rick Nielsen & Ripp,131.0,,2017,"World Championship | Chattanooga, Tennessee",9/20/2017,Unlimited Plastic (Men's)
15,16,Paul Goike & Dante,0.0,,2017,"World Championship | Chattanooga, Tennessee",9/20/2017,Unlimited Plastic (Men's)
16,16,Mike Hammock & Paxi,0.0,,2017,"World Championship | Chattanooga, Tennessee",9/20/2017,Unlimited Plastic (Men's)
17,16,Troy Mool & Paizley,0.0,,2017,"World Championship | Chattanooga, Tennessee",9/20/2017,Unlimited Plastic (Men's)
0,1,Jenelle Miller & Swing,192.8,XW-WUP Elite,2017,"World Championship | Chattanooga, Tennessee",9/20/2017,Unlimited Plastic (Women's)
1,2,Nicole Brumble & Clementine,190.8,XW-WUP Elite,2017,"World Championship | Chattanooga, Tennessee",9/20/2017,Unlimited Plastic (Women's)
2,3,Angie Jones & Ares,185.5,XW-WUP Elite,2017,"World Championship | Chattanooga, Tennessee",9/20/2017,Unlimited Plastic (Women's)
3,4,Jenelle Miller & Karu,185.3,XW-WUP Elite,2017,"World Championship | Chattanooga, Tennessee",9/20/2017,Unlimited Plastic (Women's)
4,5,Jenelle Miller & Enzo,179.0,XW-WUP Advanced,2017,"World Championship | Chattanooga, Tennessee",9/20/2017,Unlimited Plastic (Women's)
5,6,Izzy May & Thor,156.8,XW-WUP Advanced,2017,"World Championship | Chattanooga, Tennessee",9/20/2017,Unlimited Plastic (Women's)
6,7,Stephanie Carbaugh & Solo,156.0,XW-WUP Basic,2017,"World Championship | Chattanooga, Tennessee",9/20/2017,Unlimited Plastic (Women's)
7,8,Barbara Reinhold & Dibs,154.9,XW-WUP Basic,2017,"World Championship | Chattanooga, Tennessee",9/20/2017,Unlimited Plastic (Women's)
8,9,Lori Siddons & Mercy,132.3,XW-WUP Basic,2017,"World Championship | Chattanooga, Tennessee",9/20/2017,Unlimited Plastic (Women's)
9,10,Stephanie Carbaugh & Payton,129.5,XW-WUP Basic,2017,"World Championship | Chattanooga, Tennessee",9/20/2017,Unlimited Plastic (Women's)
10,11,Deneane Hart & Walter,123.9,XW-WUP Basic,2017,"World Championship | Chattanooga, Tennessee",9/20/2017,Unlimited Plastic (Women's)
11,12,Deneane Hart & Apex,122.8,XW-WUP Basic,2017,"World Championship | Chattanooga, Tennessee",9/20/2017,Unlimited Plastic (Women's)
12,13,Becca Hancock & Sage,119.8,XW-WUP Basic,2017,"World Championship | Chattanooga, Tennessee",9/20/2017,Unlimited Plastic (Women's)
13,14,Donna Bradley & Jack,91.8,,2017,"World Championship | Chattanooga, Tennessee",9/20/2017,Unlimited Plastic (Women's)
14,15,Barbara Reinhold & Rue,0.0,,2017,"World Championship | Chattanooga, Tennessee",9/20/2017,Unlimited Plastic (Women's)
15,15,Nicole Brumble & Lilly,0.0,,2017,"World Championship | Chattanooga, Tennessee",9/20/2017,Unlimited Plastic (Women's)
0,1*,Gary Duke & Mint,275.2,XQ-MCP Elite,2017,"East Ridge, Tennessee",9/19/2017,Classic Plastic (Men's)
1,2*,Derek Martin & Bravo,234.6,XQ-MCP Expert,2017,"East Ridge, Tennessee",9/19/2017,Classic Plastic (Men's)
2,3*,Gary Duke & Sweep,234.0,XQ-MCP Expert,2017,"East Ridge, Tennessee",9/19/2017,Classic Plastic (Men's)
3,4*,Gary Duke & Moss,219.8,XQ-MCP Expert,2017,"East Ridge, Tennessee",9/19/2017,Classic Plastic (Men's)
4,5*,Chris Knapp & Jack,218.6,XQ-MCP Expert,2017,"East Ridge, Tennessee",9/19/2017,Classic Plastic (Men's)
5,6*,Gordon Cheung & Justice,218.5,XQ-MCP Expert,2017,"East Ridge, Tennessee",9/19/2017,Classic Plastic (Men's)
6,7,Gordon Cheung & Tonks,209.8,XQ-MCP Advanced,2017,"East Ridge, Tennessee",9/19/2017,Classic Plastic (Men's)
7,8,Steve Chasse & Legacy,204.8,XQ-MCP Advanced,2017,"East Ridge, Tennessee",9/19/2017,Classic Plastic (Men's)
8,9,Gordon Cheung & Little Alex,198.7,XQ-MCP Advanced,2017,"East Ridge, Tennessee",9/19/2017,Classic Plastic (Men's)
9,10,Dennis LaPoma & Piper,168.5,XQ-MCP Basic,2017,"East Ridge, Tennessee",9/19/2017,Classic Plastic (Men's)
10,11,Lucas Croft & Sailor,159.7,XQ-MCP Basic,2017,"East Ridge, Tennessee",9/19/2017,Classic Plastic (Men's)
11,12,Antonio Rappazzo & Lena,157.2,XQ-MCP Basic,2017,"East Ridge, Tennessee",9/19/2017,Classic Plastic (Men's)
12,13,Antonio Rappazzo & Shaggy,156.8,XQ-MCP Basic,2017,"East Ridge, Tennessee",9/19/2017,Classic Plastic (Men's)
13,14,Frank Montgomery & Jagger,155.0,XQ-MCP Basic,2017,"East Ridge, Tennessee",9/19/2017,Classic Plastic (Men's)
14,15,Gordon Cheung & Mercy,154.2,XQ-MCP Basic,2017,"East Ridge, Tennessee",9/19/2017,Classic Plastic (Men's)
15,16,Tony Kelso & Hoot,150.1,XQ-MCP Basic,2017,"East Ridge, Tennessee",9/19/2017,Classic Plastic (Men's)
16,17,Jose-De-Jesus Ca̱on-Arevalo & Samantha,139.5,XQ-MCP Basic,2017,"East Ridge, Tennessee",9/19/2017,Classic Plastic (Men's)
17,18,Todd Queen & Tanner,127.7,XQ-MCP Basic,2017,"East Ridge, Tennessee",9/19/2017,Classic Plastic (Men's)
18,19,Lucas Croft & Flynn,0.0,,2017,"East Ridge, Tennessee",9/19/2017,Classic Plastic (Men's)
19,19,Gabo Huerta & Matilda,0.0,,2017,"East Ridge, Tennessee",9/19/2017,Classic Plastic (Men's)
0,1*,Jenelle Miller & Justice,167.9,XQ-WCP Expert,2017,"East Ridge, Tennessee",9/19/2017,Classic Plastic (Women's)
1,2*,Nicole Brumble & Montana,167.2,XQ-WCP Expert,2017,"East Ridge, Tennessee",9/19/2017,Classic Plastic (Women's)
2,3*,Lori Siddons & Little Alex,152.0,XQ-WCP Expert,2017,"East Ridge, Tennessee",9/19/2017,Classic Plastic (Women's)
3,4*,Deneane Hart & Apex,145.7,XQ-WCP Advanced,2017,"East Ridge, Tennessee",9/19/2017,Classic Plastic (Women's)
4,5*,Lori Siddons & Karma,139.8,XQ-WCP Advanced,2017,"East Ridge, Tennessee",9/19/2017,Classic Plastic (Women's)
5,6*,Stephanie Carbaugh & Payton,136.7,XQ-WCP Advanced,2017,"East Ridge, Tennessee",9/19/2017,Classic Plastic (Women's)
6,7,Barbara Reinhold & Rue,135.8,XQ-WCP Advanced,2017,"East Ridge, Tennessee",9/19/2017,Classic Plastic (Women's)
7,8,Lori Siddons & Tonks,132.0,XQ-WCP Advanced,2017,"East Ridge, Tennessee",9/19/2017,Classic Plastic (Women's)
8,9,Stephanie Carbaugh & Solo,131.4,XQ-WCP Advanced,2017,"East Ridge, Tennessee",9/19/2017,Classic Plastic (Women's)
9,10,Cosma Catalfamo & Shaggy,127.7,XQ-WCP Advanced,2017,"East Ridge, Tennessee",9/19/2017,Classic Plastic (Women's)
10,11,Diane LaPoma & Cooper,120.2,XQ-WCP Advanced,2017,"East Ridge, Tennessee",9/19/2017,Classic Plastic (Women's)
11,12,Jessica Smith & Briar Rose,92.4,XQ-WCP Basic,2017,"East Ridge, Tennessee",9/19/2017,Classic Plastic (Women's)
12,13,Candie Kilbourne & Mako,0.0,,2017,"East Ridge, Tennessee",9/19/2017,Classic Plastic (Women's)
13,13,Donna Bradley & Jack,0.0,,2017,"East Ridge, Tennessee",9/19/2017,Classic Plastic (Women's)
14,13,Candie Kilbourne & Cutter,0.0,,2017,"East Ridge, Tennessee",9/19/2017,Classic Plastic (Women's)
0,1*,Gary Duke & Mint,206.8,XQ-MLP Expert,2017,"East Ridge, Tennessee",9/19/2017,Light Plastic (Men's)
1,2*,Gordon Cheung & Tonks,196.0,XQ-MLP Expert,2017,"East Ridge, Tennessee",9/19/2017,Light Plastic (Men's)
2,3*,Mark Muir & Kiro,189.1,XQ-MLP Expert,2017,"East Ridge, Tennessee",9/19/2017,Light Plastic (Men's)
3,4*,Gary Duke & Sweep,186.2,XQ-MLP Expert,2017,"East Ridge, Tennessee",9/19/2017,Light Plastic (Men's)
4,5*,Mark Muir & Matilda,185.2,XQ-MLP Expert,2017,"East Ridge, Tennessee",9/19/2017,Light Plastic (Men's)
5,6*,Dennis LaPoma & Cooper,165.2,XQ-MLP Advanced,2017,"East Ridge, Tennessee",9/19/2017,Light Plastic (Men's)
6,7,Tony Kelso & Hoot,149.4,XQ-MLP Basic,2017,"East Ridge, Tennessee",9/19/2017,Light Plastic (Men's)
7,8,Frank Montgomery & Jagger,123.0,XQ-MLP Basic,2017,"East Ridge, Tennessee",9/19/2017,Light Plastic (Men's)
8,9,Mark Muir & Lua,82.9,,2017,"East Ridge, Tennessee",9/19/2017,Light Plastic (Men's)
9,10,Gordon Cheung & Karma,0.0,,2017,"East Ridge, Tennessee",9/19/2017,Light Plastic (Men's)
10,10,Gary Duke & Moss,0.0,,2017,"East Ridge, Tennessee",9/19/2017,Light Plastic (Men's)
11,10,Gordon Cheung & Mercy,0.0,,2017,"East Ridge, Tennessee",9/19/2017,Light Plastic (Men's)
0,1*,Jenelle Miller & Justice,199.5,XQ-WLP Elite,2017,"East Ridge, Tennessee",9/19/2017,Light Plastic (Women's)
1,2*,Jenelle Miller & Karu,174.7,XQ-WLP Expert,2017,"East Ridge, Tennessee",9/19/2017,Light Plastic (Women's)
2,3*,Nicole Brumble & Storm,158.8,XQ-WLP Expert,2017,"East Ridge, Tennessee",9/19/2017,Light Plastic (Women's)
3,4*,Barbara Reinhold & Dibs,139.5,XQ-WLP Expert,2017,"East Ridge, Tennessee",9/19/2017,Light Plastic (Women's)
4,5*,Jameelea Popenhagen & Miss Ruby,137.3,XQ-WLP Expert,2017,"East Ridge, Tennessee",9/19/2017,Light Plastic (Women's)
5,6*,Lori Siddons & Little Alex,134.6,XQ-WLP Expert,2017,"East Ridge, Tennessee",9/19/2017,Light Plastic (Women's)
6,7,Jameelea Popenhagen & Miss Diva,133.9,XQ-WLP Expert,2017,"East Ridge, Tennessee",9/19/2017,Light Plastic (Women's)
7,8,Diane LaPoma & Cooper,133.3,XQ-WLP Expert,2017,"East Ridge, Tennessee",9/19/2017,Light Plastic (Women's)
8,9,Izzy May & Thor,133.2,XQ-WLP Expert,2017,"East Ridge, Tennessee",9/19/2017,Light Plastic (Women's)
9,10,Lori Siddons & Mercy,126.7,XQ-WLP Expert,2017,"East Ridge, Tennessee",9/19/2017,Light Plastic (Women's)
10,11,Aura Moreno & Storm,107.9,XQ-WLP Advanced,2017,"East Ridge, Tennessee",9/19/2017,Light Plastic (Women's)
11,12,Aura Moreno & Thunder,104.9,XQ-WLP Advanced,2017,"East Ridge, Tennessee",9/19/2017,Light Plastic (Women's)
12,13,Diane LaPoma & Piper,85.2,XQ-WLP Basic,2017,"East Ridge, Tennessee",9/19/2017,Light Plastic (Women's)
13,14,Jessica Smith & Echo,65.6,,2017,"East Ridge, Tennessee",9/19/2017,Light Plastic (Women's)
14,15,Aura Moreno & Teo,0.0,,2017,"East Ridge, Tennessee",9/19/2017,Light Plastic (Women's)
0,1*,Dean Werts & Siri,206.5,XQ-MM Elite,2017,"East Ridge, Tennessee",9/19/2017,MicroDog (Men's)
1,2*,Chris Knapp & Rue,174.7,XQ-MM Elite,2017,"East Ridge, Tennessee",9/19/2017,MicroDog (Men's)
2,3*,Frank Montgomery & Chicklet,165.7,XQ-MM Elite,2017,"East Ridge, Tennessee",9/19/2017,MicroDog (Men's)
3,4*,Gary Duke & Bunny,152.3,XQ-MM Elite,2017,"East Ridge, Tennessee",9/19/2017,MicroDog (Men's)
4,5*,Mark Muir & Lilly,132.1,XQ-MM Elite,2017,"East Ridge, Tennessee",9/19/2017,MicroDog (Men's)
5,6*,Mark Muir & Hope,82.1,,2017,"East Ridge, Tennessee",9/19/2017,MicroDog (Men's)
0,1*,Nicole Brumble & Lilly,148.3,XQ-WM Elite,2017,"East Ridge, Tennessee",9/19/2017,MicroDog (Women's)
1,2*,Criss Brown & Blaze,92.4,XQ-WM Elite,2017,"East Ridge, Tennessee",9/19/2017,MicroDog (Women's)
2,3*,Jameelea Popenhagen & Miss Ruby,65.8,XQ-WM Basic,2017,"East Ridge, Tennessee",9/19/2017,MicroDog (Women's)
3,4*,Jenelle Miller & Bongo,51.3,,2017,"East Ridge, Tennessee",9/19/2017,MicroDog (Women's)
4,5,Jenelle Miller & Feisty,0.0,,2017,"East Ridge, Tennessee",9/19/2017,MicroDog (Women's)
0,1*,Gary Duke & Sweep,238.5,XQ-MUP Expert,2017,"East Ridge, Tennessee",9/19/2017,Unlimited Plastic (Men's)
1,2*,Derek Martin & Bravo,223.1,XQ-MUP Expert,2017,"East Ridge, Tennessee",9/19/2017,Unlimited Plastic (Men's)
2,3*,Mike Hammock & Gixxer,215.3,XQ-MUP Expert,2017,"East Ridge, Tennessee",9/19/2017,Unlimited Plastic (Men's)
3,4*,Gordon Cheung & Little Alex,174.7,XQ-MUP Basic,2017,"East Ridge, Tennessee",9/19/2017,Unlimited Plastic (Men's)
4,5*,Lucas Croft & Sailor,166.3,XQ-MUP Basic,2017,"East Ridge, Tennessee",9/19/2017,Unlimited Plastic (Men's)
5,6*,Juan-Carlos Ortiz-Barreto & Kandela,156.3,XQ-MUP Basic,2017,"East Ridge, Tennessee",9/19/2017,Unlimited Plastic (Men's)
6,7,Todd Queen & Tanner,155.6,XQ-MUP Basic,2017,"East Ridge, Tennessee",9/19/2017,Unlimited Plastic (Men's)
7,8,Lucas Croft & Belle,154.1,XQ-MUP Basic,2017,"East Ridge, Tennessee",9/19/2017,Unlimited Plastic (Men's)
8,9,Chris Knapp & Jack,151.8,XQ-MUP Basic,2017,"East Ridge, Tennessee",9/19/2017,Unlimited Plastic (Men's)
9,10,Sam Smith & Briar Rose,142.5,XQ-MUP Basic,2017,"East Ridge, Tennessee",9/19/2017,Unlimited Plastic (Men's)
10,11,Tony Kelso & Hoot,126.8,,2017,"East Ridge, Tennessee",9/19/2017,Unlimited Plastic (Men's)
11,12,Sam Smith & Echo,118.8,,2017,"East Ridge, Tennessee",9/19/2017,Unlimited Plastic (Men's)
12,13,Bill Jensen & Bailey,108.3,,2017,"East Ridge, Tennessee",9/19/2017,Unlimited Plastic (Men's)
13,14,Scott Kemp-Gee & Rowlfie,88.8,,2017,"East Ridge, Tennessee",9/19/2017,Unlimited Plastic (Men's)
14,15,Scott Kemp-Gee & Sinead,69.3,,2017,"East Ridge, Tennessee",9/19/2017,Unlimited Plastic (Men's)
15,16,Scott Kemp-Gee & Scooter,68.8,,2017,"East Ridge, Tennessee",9/19/2017,Unlimited Plastic (Men's)
16,17,Lucas Croft & Flynn,0.0,,2017,"East Ridge, Tennessee",9/19/2017,Unlimited Plastic (Men's)
17,17,Gary Duke & Mint,0.0,,2017,"East Ridge, Tennessee",9/19/2017,Unlimited Plastic (Men's)
18,17,Steve Chasse & Legacy,0.0,,2017,"East Ridge, Tennessee",9/19/2017,Unlimited Plastic (Men's)
19,17,Gordon Cheung & Justice,0.0,,2017,"East Ridge, Tennessee",9/19/2017,Unlimited Plastic (Men's)
20,17,Bob Bradley & Hyzer,0.0,,2017,"East Ridge, Tennessee",9/19/2017,Unlimited Plastic (Men's)
21,17,Gary Duke & Moss,0.0,,2017,"East Ridge, Tennessee",9/19/2017,Unlimited Plastic (Men's)
0,1*,Jenelle Miller & Swing,186.3,XQ-WUP Elite,2017,"East Ridge, Tennessee",9/19/2017,Unlimited Plastic (Women's)
1,2*,Barbara Reinhold & Rue,163.0,XQ-WUP Expert,2017,"East Ridge, Tennessee",9/19/2017,Unlimited Plastic (Women's)
2,3*,Barbara Reinhold & Dibs,156.3,XQ-WUP Expert,2017,"East Ridge, Tennessee",9/19/2017,Unlimited Plastic (Women's)
3,4*,Stephanie Carbaugh & Payton,155.4,XQ-WUP Expert,2017,"East Ridge, Tennessee",9/19/2017,Unlimited Plastic (Women's)
4,5*,Deneane Hart & Apex,154.3,XQ-WUP Expert,2017,"East Ridge, Tennessee",9/19/2017,Unlimited Plastic (Women's)
5,6*,Stephanie Carbaugh & Solo,137.6,XQ-WUP Advanced,2017,"East Ridge, Tennessee",9/19/2017,Unlimited Plastic (Women's)
6,7,Lori Siddons & Karma,132.6,XQ-WUP Advanced,2017,"East Ridge, Tennessee",9/19/2017,Unlimited Plastic (Women's)
7,8,Lori Siddons & Tonks,131.9,XQ-WUP Advanced,2017,"East Ridge, Tennessee",9/19/2017,Unlimited Plastic (Women's)
8,9,Tammy Montgomery & Dixie,130.1,XQ-WUP Advanced,2017,"East Ridge, Tennessee",9/19/2017,Unlimited Plastic (Women's)
9,10,Nicole Brumble & Storm,119.0,XQ-WUP Basic,2017,"East Ridge, Tennessee",9/19/2017,Unlimited Plastic (Women's)
10,11,Nicole Brumble & Thunder,0.0,,2017,"East Ridge, Tennessee",9/19/2017,Unlimited Plastic (Women's)
11,11,Donna Bradley & Hyzer,0.0,,2017,"East Ridge, Tennessee",9/19/2017,Unlimited Plastic (Women's)
0,1*,Gordon Cheung & Karma,190.0,XQ-MCP Advanced,2017,"Cookstown, Ontario, Canada",8/20/2017,Classic Plastic (Men's)
1,2,Gordon Cheung & Tonks,187.1,XQ-MCP Advanced,2017,"Cookstown, Ontario, Canada",8/20/2017,Classic Plastic (Men's)
2,3,Gordon Cheung & Mercy,186.0,XQ-MCP Advanced,2017,"Cookstown, Ontario, Canada",8/20/2017,Classic Plastic (Men's)
3,4,Gordon Cheung & Justice,174.0,XQ-MCP Basic,2017,"Cookstown, Ontario, Canada",8/20/2017,Classic Plastic (Men's)
4,5,Reid Alexander & Tonks,138.0,XQ-MCP Basic,2017,"Cookstown, Ontario, Canada",8/20/2017,Classic Plastic (Men's)
5,6,Albert Testar & TuggerMcGruff,129.0,XQ-MCP Basic,2017,"Cookstown, Ontario, Canada",8/20/2017,Classic Plastic (Men's)
6,7,Gordon Cheung & Little Alex,0.0,,2017,"Cookstown, Ontario, Canada",8/20/2017,Classic Plastic (Men's)
7,7,Albert Testar & Chester,0.0,,2017,"Cookstown, Ontario, Canada",8/20/2017,Classic Plastic (Men's)
0,1,Jenelle Miller & Enzo,190.5,XQ-WCP Elite,2017,"Cookstown, Ontario, Canada",8/20/2017,Classic Plastic (Women's)
1,2*,Lori Siddons & Mercy,125.1,XQ-WCP Advanced,2017,"Cookstown, Ontario, Canada",8/20/2017,Classic Plastic (Women's)
2,3,Lori Siddons & Justice,120.0,XQ-WCP Advanced,2017,"Cookstown, Ontario, Canada",8/20/2017,Classic Plastic (Women's)
3,4,Lori Siddons & Karma,119.0,XQ-WCP Basic,2017,"Cookstown, Ontario, Canada",8/20/2017,Classic Plastic (Women's)
4,5,Jennifer Butler & Ivy,105.2,XQ-WCP Basic,2017,"Cookstown, Ontario, Canada",8/20/2017,Classic Plastic (Women's)
5,6,Eva Stiller & Foster,0.0,,2017,"Cookstown, Ontario, Canada",8/20/2017,Classic Plastic (Women's)
0,1,Gordon Cheung & Mercy,172.5,XQ-MLP Advanced,2017,"Cookstown, Ontario, Canada",8/20/2017,Light Plastic (Men's)
1,2,Gordon Cheung & Justice,170.0,XQ-MLP Advanced,2017,"Cookstown, Ontario, Canada",8/20/2017,Light Plastic (Men's)
2,3,Gordon Cheung & Karma,164.8,XQ-MLP Advanced,2017,"Cookstown, Ontario, Canada",8/20/2017,Light Plastic (Men's)
3,4,Gordon Cheung & Tonks,162.7,XQ-MLP Advanced,2017,"Cookstown, Ontario, Canada",8/20/2017,Light Plastic (Men's)
4,5*,Rick Rauwerda & Ticket,130.1,XQ-MLP Basic,2017,"Cookstown, Ontario, Canada",8/20/2017,Light Plastic (Men's)
5,6,Gordon Cheung & Little Alex,0.0,,2017,"Cookstown, Ontario, Canada",8/20/2017,Light Plastic (Men's)
6,6,Albert Testar & Chester,0.0,,2017,"Cookstown, Ontario, Canada",8/20/2017,Light Plastic (Men's)
0,1*,Jenelle Miller & Enzo,134.0,XQ-WLP Expert,2017,"Cookstown, Ontario, Canada",8/20/2017,Light Plastic (Women's)
1,2,Lori Siddons & Mercy,125.1,XQ-WLP Expert,2017,"Cookstown, Ontario, Canada",8/20/2017,Light Plastic (Women's)
2,3,Lori Siddons & Karma,112.0,XQ-WLP Advanced,2017,"Cookstown, Ontario, Canada",8/20/2017,Light Plastic (Women's)
3,4,Lori Siddons & Justice,91.1,XQ-WLP Advanced,2017,"Cookstown, Ontario, Canada",8/20/2017,Light Plastic (Women's)
4,5,Jenelle Miller & Karu,0.0,,2017,"Cookstown, Ontario, Canada",8/20/2017,Light Plastic (Women's)
0,1*,Rick Rauwerda & Ticket,153.7,XQ-MM Elite,2017,"Cookstown, Ontario, Canada",8/20/2017,MicroDog (Men's)
1,2,Albert Testar & Chester,116.7,XQ-MM Expert,2017,"Cookstown, Ontario, Canada",8/20/2017,MicroDog (Men's)
2,3,Gordon Cheung & Cindy Lou,0.0,,2017,"Cookstown, Ontario, Canada",8/20/2017,MicroDog (Men's)
0,1*,Jenelle Miller & Habit,111.3,XQ-WM Elite,2017,"Cookstown, Ontario, Canada",8/20/2017,MicroDog (Women's)
1,2,Lori Siddons & Cindy Lou,102.0,XQ-WM Elite,2017,"Cookstown, Ontario, Canada",8/20/2017,MicroDog (Women's)
2,3,Sue Godbehere & Hobbes,0.0,,2017,"Cookstown, Ontario, Canada",8/20/2017,MicroDog (Women's)
3,3,Jenelle Miller & Feisty,0.0,,2017,"Cookstown, Ontario, Canada",8/20/2017,MicroDog (Women's)
4,3,Jenelle Miller & Bongo,0.0,,2017,"Cookstown, Ontario, Canada",8/20/2017,MicroDog (Women's)
0,1,Gordon Cheung & Karma,201.1,XQ-MUP Advanced,2017,"Cookstown, Ontario, Canada",8/20/2017,Unlimited Plastic (Men's)
1,2*,Gordon Cheung & Tonks,198.8,XQ-MUP Advanced,2017,"Cookstown, Ontario, Canada",8/20/2017,Unlimited Plastic (Men's)
2,3,Gordon Cheung & Mercy,195.2,XQ-MUP Advanced,2017,"Cookstown, Ontario, Canada",8/20/2017,Unlimited Plastic (Men's)
3,4,Gordon Cheung & Little Alex,184.3,XQ-MUP Advanced,2017,"Cookstown, Ontario, Canada",8/20/2017,Unlimited Plastic (Men's)
4,5,Albert Testar & Chester,0.0,,2017,"Cookstown, Ontario, Canada",8/20/2017,Unlimited Plastic (Men's)
0,1*,Lori Siddons & Mercy,149.1,XQ-WUP Advanced,2017,"Cookstown, Ontario, Canada",8/20/2017,Unlimited Plastic (Women's)
1,2,Lori Siddons & Karma,135.1,XQ-WUP Advanced,2017,"Cookstown, Ontario, Canada",8/20/2017,Unlimited Plastic (Women's)
2,3,Eva Stiller & Foster,125.1,XQ-WUP Advanced,2017,"Cookstown, Ontario, Canada",8/20/2017,Unlimited Plastic (Women's)
3,4,Jennifer Butler & Ivy,100.1,,2017,"Cookstown, Ontario, Canada",8/20/2017,Unlimited Plastic (Women's)
